"YEAR","FL_DATE","OP_CARRIER_FL_NUM","ORIGIN","DEST","DEP_DELAY","ARR_DELAY","CANCELLED","CANCELLATION_CODE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017,2017-06-15,"439","IND","BOS",-4.00,-15.00,0.00,"",,,,,,
2017,2017-06-15,"3539","IND","BOS",19.00,18.00,0.00,"",0.00,0.00,18.00,0.00,0.00,
2017,2017-06-15,"1852","MCI","BOS",46.00,56.00,0.00,"",7.00,0.00,10.00,0.00,39.00,
2017,2017-06-15,"3209","MCI","BOS",5.00,-8.00,0.00,"",,,,,,
2017,2017-06-15,"107","MDW","BOS",8.00,0.00,0.00,"",,,,,,
2017,2017-06-15,"346","MDW","BOS",154.00,145.00,0.00,"",0.00,21.00,0.00,0.00,124.00,
2017,2017-06-15,"1592","MDW","BOS",-2.00,-10.00,0.00,"",,,,,,
2017,2017-06-15,"1707","MDW","BOS",6.00,4.00,0.00,"",,,,,,
2017,2017-06-15,"1812","MDW","BOS",5.00,1.00,0.00,"",,,,,,
2017,2017-06-15,"3431","MDW","BOS",26.00,27.00,0.00,"",0.00,0.00,27.00,0.00,0.00,
2017,2017-06-15,"443","MKE","BOS",-2.00,-15.00,0.00,"",,,,,,
2017,2017-06-15,"594","MKE","BOS",93.00,90.00,0.00,"",0.00,0.00,0.00,0.00,90.00,
2017,2017-06-15,"35","STL","BOS",7.00,5.00,0.00,"",,,,,,
2017,2017-06-15,"440","STL","BOS",-5.00,-15.00,0.00,"",,,,,,
2017,2017-06-15,"1546","STL","BOS",6.00,17.00,0.00,"",0.00,0.00,11.00,0.00,6.00,
2017,2017-06-15,"4014","STL","BOS",,,1.00,"B",,,,,,
2017,2017-06-16,"187","ATL","BOS",0.00,-12.00,0.00,"",,,,,,
2017,2017-06-16,"214","ATL","BOS",42.00,43.00,0.00,"",0.00,0.00,1.00,0.00,42.00,
2017,2017-06-16,"3246","ATL","BOS",228.00,236.00,0.00,"",228.00,0.00,8.00,0.00,0.00,
2017,2017-06-16,"1828","AUS","BOS",-3.00,-15.00,0.00,"",,,,,,
2017,2017-06-16,"1404","BNA","BOS",189.00,202.00,0.00,"",0.00,0.00,198.00,0.00,4.00,
2017,2017-06-16,"3200","BNA","BOS",149.00,130.00,0.00,"",0.00,129.00,0.00,0.00,1.00,
2017,2017-06-16,"4741","BNA","BOS",14.00,5.00,0.00,"",,,,,,
2017,2017-06-16,"169","BOS","ATL",0.00,-10.00,0.00,"",,,,,,
2017,2017-06-16,"980","BOS","ATL",141.00,152.00,0.00,"",1.00,0.00,11.00,0.00,140.00,
2017,2017-06-16,"3371","BOS","ATL",9.00,-1.00,0.00,"",,,,,,
2017,2017-06-16,"2162","BOS","AUS",-4.00,-5.00,0.00,"",,,,,,
2017,2017-06-16,"2970","BOS","BNA",-3.00,-8.00,0.00,"",,,,,,
2017,2017-06-16,"3101","BOS","BNA",47.00,42.00,0.00,"",4.00,0.00,0.00,0.00,38.00,
2017,2017-06-16,"3310","BOS","BNA",453.00,451.00,0.00,"",451.00,0.00,0.00,0.00,0.00,
2017,2017-06-16,"15","BOS","BWI",145.00,131.00,0.00,"",6.00,0.00,0.00,0.00,125.00,
2017,2017-06-16,"422","BOS","BWI",-1.00,2.00,0.00,"",,,,,,
2017,2017-06-16,"435","BOS","BWI",4.00,-4.00,0.00,"",,,,,,
2017,2017-06-16,"456","BOS","BWI",199.00,179.00,0.00,"",0.00,0.00,0.00,0.00,179.00,
2017,2017-06-16,"704","BOS","BWI",1.00,-10.00,0.00,"",,,,,,
2017,2017-06-16,"998","BOS","BWI",49.00,40.00,0.00,"",8.00,0.00,0.00,0.00,32.00,
2017,2017-06-16,"1770","BOS","BWI",0.00,8.00,0.00,"",,,,,,
